 ,Label,lumMean,lumSD,area,vsMean,vsSD,swMean,swSD,mwMean,mwSD,lwMean,lwSD,dblMean,dblSD
971,232_Citrus_Abdomen,10492.212,1452.595,326009,4779.159,918.601,5723.881,1157.281,9362.427,1415.514,15051.833,1872.377,10492.212,1452.595
972,232_Citrus_AvLeaf,6708.286,1741.973,789200,2915.7,747.351,4078.391,1166.941,7808.454,1879.106,5916.195,1746.231,6708.286,1741.973
973,233_Citrus_Leaf,6419.287,1373.758,3632395,2657.416,493.805,3798.744,825.352,7545.305,1507.436,5576.039,1388.179,6419.287,1373.758
974,233_Citrus_Pronotum,10136.42,942.21,86511,3213.171,444.296,4466.474,583.46,9383.569,954.777,14323.331,1323.009,10136.42,942.21
975,233_Citrus_Dot,2778.54,426.51,4110,2716.639,362.368,2339.068,425.345,3128.308,470.479,2596.62,439.408,2778.54,426.51
976,233_Citrus_Abdomen,8735.607,972.846,201507,3043.691,433.642,4308.396,543.952,8703.46,938.824,10959.288,1405.986,8735.607,972.846
977,233_Citrus_AvLeaf,6660.004,1368.161,784414,2697.628,506.62,3924.89,822.313,7808.743,1494.117,5818.072,1402.826,6660.004,1368.161
978,234_Citrus_Leaf,9055.73,1594.702,3972507,3011.365,578.976,5006.729,900.419,10500.829,1762.982,8148.442,1618.099,9055.73,1594.702
979,234_Citrus_Pronotum,2797.057,716.64,140399,2977.91,757.755,2545.967,760.915,3196.374,738.432,2432.302,727.464,2797.057,716.64
980,234_Citrus_Dot,2213.294,799.957,75538,2378.972,508.443,1860.865,651.731,2542.212,842.842,2035.394,838.539,2213.294,799.957
981,234_Citrus_Abdomen,2743.29,659.227,507607,2844.923,481.716,2419.888,559.723,3060.642,684.669,2574.775,753.687,2743.29,659.227
982,234_Citrus_AvLeaf,9910.037,1988.153,778807,3524.034,453.814,5696.482,957.841,11397.261,2207.566,8979.176,2037.36,9910.037,1988.153
983,235_Citrus_Leaf,8595.839,2065.825,4092357,2935.629,644.967,4773.341,1143.009,9999.419,2277.222,7673.316,2072.916,8595.839,2065.825
984,235_Citrus_Pronotum,2652.265,718.789,164495,2862.065,651.925,2357.227,676.299,3029.983,743.1,2343.139,769.69,2652.265,718.789
985,235_Citrus_Dot,2566.24,1064.359,72947,2772.88,645.672,2341.118,856.118,2843.985,1106.337,2439.602,1123.91,2566.24,1064.359
986,235_Citrus_Abdomen,4046.233,1496.377,497500,3597.52,874.793,3358.355,1114.609,4253.602,1451.021,4236.841,1803.914,4046.233,1496.377
987,235_Citrus_AvLeaf,10122.981,2418.771,828649,3589.803,622.924,5825.44,1282.292,11624.792,2659.503,9192.342,2448.139,10122.981,2418.771
988,236_Citrus_Leaf,6809.617,1737.121,2323598,2678.649,602.208,3956.795,1031.938,8039.955,1918.645,5845.84,1696.233,6809.617,1737.121
989,236_Citrus_Pronotum,2459.2,363.245,123156,2633.852,381.231,2159.987,381.229,2838.28,405.059,2151.363,371.143,2459.2,363.245
990,236_Citrus_Dot,2463.375,653.369,70545,2653.402,384.365,2198.814,522.337,2766.783,694.797,2299.836,689.091,2463.375,653.369
991,236_Citrus_Abdomen,3560.058,1255.833,495879,3250.595,654.966,2975.667,918.848,3823.735,1220.162,3599.493,1519.776,3560.058,1255.833
992,236_Citrus_AvLeaf,7768.773,1904.113,553743,3042.169,545.154,4577.184,1053.984,9084.315,2119.749,6765.371,1859.044,7768.773,1904.113
993,237_Citrus_Leaf,7369.431,2051.919,2181238,2825.762,670.933,4262.086,1206.79,8642.895,2266.396,6417.325,1999.987,7369.431,2051.919
994,237_Citrus_Pronotum,2662.443,452.454,107365,2810.41,437.887,2379.017,425.809,3057.82,498.596,2316.703,469.395,2662.443,452.454
995,237_Citrus_Dot,2436.746,812.314,66757,2491.826,444.168,2029.492,617.619,2761.549,875.519,2287.791,811.89,2436.746,812.314
996,237_Citrus_Abdomen,3350.997,1048.138,488640,3104.406,574.989,2773.476,754.014,3590.46,1027.411,3438.282,1269.034,3350.997,1048.138
997,237_Citrus_AvLeaf,7868.978,2317.983,805841,3050.572,697.529,4608.181,1326.227,9181.197,2563.263,6898.991,2260.999,7868.978,2317.983
998,238_Citrus_Leaf,8062.133,1812.669,4428497,2780.11,646.11,4435.788,1035.187,9405.768,1994.88,7178.922,1825.875,8062.133,1812.669
999,238_Citrus_Pronotum,3008.643,539.475,213127,3187.767,498.062,2689.217,538.219,3339.184,581.604,2795.653,563.249,3008.643,539.475
1000,238_Citrus_Dot,2443.647,754.984,72745,2818.294,533.692,2327.505,675.167,2773.553,802.458,2163.039,753.245,2443.647,754.984
1001,238_Citrus_Abdomen,3553.946,1241.652,584736,3249.958,662.917,2931.658,916.324,3825.271,1219.031,3589.986,1486.106,3553.946,1241.652
